Date,RegionName,HospitalizedPatients,IntensiveCarePatients,TotalHospitalizedPatients,HomeConfinement,CurrentPositiveCases,NewPositiveCases,Recovered,Deaths,TotalPositiveCases,NoActive,ActiveCases
20/02/24,"Abruzzo,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/24,"Basilicata,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/24,"P.A. Bolzano,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/24,"Calabria,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/24,"Campania,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/24,"Emilia Romagna,","10,","2,","12,","6,","18,","18,","0,","0,","18,","0,",18
20/02/24,"Friuli Venezia Giulia,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/24,"Lazio,","1,","1,","2,","0,","2,","2,","1,","0,","3,","1,",1
20/02/24,"Liguria,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/24,"Lombardia,","76,","19,","95,","71,","166,","166,","0,","6,","172,","6,",160
20/02/24,"Marche,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/24,"Molise,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/24,"Piemonte,","2,","0,","2,","1,","3,","3,","0,","0,","3,","0,",3
20/02/24,"Puglia,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/24,"Sardegna,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/24,"Sicilia,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/24,"Toscana,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/24,"P.A. Trento,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/24,"Umbria,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/24,"Valle d'Aosta,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/24,"Veneto,","12,","4,","16,","16,","32,","32,","0,","1,","33,","1,",31
20/02/25,"Abruzzo,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/25,"Basilicata,","0,","0,","0,","0,","0,","0,","0,","0,","0,","0,",0
20/02/25,"P.A. Bolzano,","1,","0,","1,","0,","1,","1,","0,","0,","1,","0,",1
